Municipality or First Nation,Store Name,Address,Store Application Status
BEAMSVILLE,Cannabis Cupboard,4506 ONTARIO ST UNIT 4,Authorized to Open
BEAMSVILLE,Hey Bud,5001 GREENLANE RD UNIT 4,Authorized to Open
BEAMSVILLE,T CANNABIS,4322 ONTARIO STREET UNIT 3,Authorized to Open
BEAMSVILLE,Toke Cannabis,4999 KING STREET,Authorized to Open
BEAVERTON,Beaverton cannabis ,280 MARA ROAD,Authorized to Open
BEAVERTON,C SHOP,B30 BEAVER AVE,Public Notice Period: Ended 2022/05/07
BEAVERTON,EIGHTH CANNABIS,292 MARA RD UNIT A,Authorized to Open
BEAVERTON ,Flowertown Cannabis,325 SIMCOE ST UNIT 1,Authorized to Open
BEETON,CANNABIS XPRESS,8 MAIN ST W,Authorized to Open
BEETON,NORTHERN BUDZZ,29 MAIN ST W UNIT 700 & 800,Authorized to Open
BELLE RIVER,10 Seventeen,571 NOTRE DAME STREET  SUITE A,Authorized to Open
BELLE RIVER,Discounted Cannabis,473 NOTRE DAME ST UNIT 3,Authorized to Open
BELLE RIVER,The We Store,"1303 ESSEX COUNTY ROAD #22, UNIT 180",Authorized to Open
BELLEVILLE,GREENHEART FLOWERS,1601 WALLBRIDGE-LOYALIST RD UNIT 2,Authorized to Open
BELLEVILLE,HEMISPHERE CANNABIS CO.,464 DUNDAS ST E,In Progress
BELLEVILLE,SATIVA BLISS CANNABIS BOUTIQUE,200 FRONT ST UNIT 101,Authorized to Open
BELLEVILLE,SHINYBUD CANNABIS CO. 308 NORTH FRONT ST,308 NORTH FRONT ST UNIT 101,Authorized to Open
BELLEVILLE,SHINYBUD CANNABIS CO. 444 DUNDAS BELLEVILLE,444 DUNDAS ST E UNIT F,Authorized to Open
BELLEVILLE,ShinyBud Cannabis Co. 48 Dundas Belleville,48 DUNDAS ST W UNIT 4,Authorized to Open
BELLEVILLE,The Community Store ,257 NORTH FRONT ST UNIT 5,Authorized to Open
BELLEVILLE,Tokyo Smoke Belleville ,305 NORTH FRONT ST UNIT 4,Authorized to Open
BELLEVILLE,True North Cannabis Co.,20 BRIDGE ST W,Authorized to Open
BELLEVILLE,Yield Cannabis Co.,110 NORTH FRONT ST UNIT C004,Authorized to Open
BINBROOK,SESSIONS CANNABIS - BINBROOK,2537 RR 56 UNIT B12,Authorized to Open
BLENHEIM,Higher Limits Cannabis Company,52 CATHERINE ST UNIT 4,Authorized to Open
BLENHEIM,SHINYBUD CANNABIS CO BLENHEIM,63B TALBOT ST W,Authorized to Open
BLIND RIVER,Creekside Cannabis,26220 HWY 17,Authorized to Open
BLUE MOUNTAIN,Chill Blue Mountain,170 JOZO WEIDER BLVD UNIT 61/P1-11,Authorized to Open
BOBCAYGEON,DOCKS,7 KING ST E,Authorized to Open
BOBCAYGEON,Rokeby Cannabis,48 MAIN STREET  BOX 909,Authorized to Open
BOURGET,Big River Cannabis - Bourget,2115 LAVAL ST,Authorized to Open
BOWMANVILLE,EIGHTH CANNABIS,258 KING ST E UNIT 1B,Authorized to Open
BOWMANVILLE,NORTHERN HELM CANNABIS,2377 HIGHWAY 2 UNIT 226,Authorized to Open
BOWMANVILLE,Pop's Cannabis Co.,2316 HWY 2 UNIT K2,Public Notice Period: Ended 2023/10/10
BOWMANVILLE,RUSTIC CANNABIS,122 KING ST E,Authorized to Open
BOWMANVILLE,SHINYBUD CANNABIS CO. 191 BOWMANVILLE,"191 CHURCH ST, LOWER FLOOR ",Authorized to Open
BOWMANVILLE,SPEAK EASY CANNABIS,21 KING ST W,Authorized to Open
BOWMANVILLE,Spot 420,237 KING ST E UNIT 3,Authorized to Open
BOWMANVILLE,the 6ix Cannabis,6 SPICER SQ UNIT 106,In Progress
BRACEBRIDGE,Canna Cabana,77 MANITOBA ST,Authorized to Open
BRACEBRIDGE,Mary Jane Muskoka,440 ECCLESTONE DR UNIT 13 ,Authorized to Open
BRACEBRIDGE ,CANNA CABANA,125 MUSKOKA RD 118 W UNIT 6,Authorized to Open
BRADFORD,ARCADE CANNABIS ,456 HOLLAND ST W UNIT 1,Authorized to Open
BRADFORD,ATLAS CANNABIS CLUB,78 BRIDGE ST,Authorized to Open
BRADFORD,Olympus Cannabis,12 HOLLAND ST W,Authorized to Open
BRADFORD,One Plant Bradford,484 HOLLAND ST W UNIT B-1,Authorized to Open
BRADFORD,STAR BUDS CANNABIS CO. ,22 BARRIE ST,Authorized to Open
BRADFORD,Tokyo Smoke Bradford,494 HOLLAND ST W UNIT 103,Authorized to Open
BRAMPTON,6ix cannabis ,2120 NORTH PARK DR UNIT 26,Authorized to Open
BRAMPTON,Bodega Boyz,69 BRAMALEA RD SUITE 3,Authorized to Open
BRAMPTON,BUDSSMOKE,170 DAVENFIELD CIR,Authorized to Open
BRAMPTON,Canna Cabana,9025 AIRPORT RD UNIT 2,Authorized to Open
BRAMPTON,CANNA CABANA,148 WEST DR UNIT C108,Authorized to Open
BRAMPTON,CANNABIS XPRESS,11670 HURONTARIO ST UNIT 6,Authorized to Open
BRAMPTON,CANNABIS XPRESS,405 VETERANS DR,Authorized to Open
BRAMPTON,Cantopia Cannabis Co.,9445 MISSISSAUGA RD UNIT 3,Authorized to Open
BRAMPTON,CANTOPIA CANNABIS CO.,"55 MOUNTAINASH ROAD, D2-A",Authorized to Open
BRAMPTON,Cantopia Cannabis Co.,1785 QUEEN ST E UNIT H,Authorized to Open
BRAMPTON,Chamba Cannabis Co,20 GILLINGHAM DR UNIT 609,Authorized to Open
BRAMPTON,Crown Leaf,75 CLARENCE ST,Authorized to Open
BRAMPTON,CROWN LEAF,1 STEELES AVE E UNIT 14,Authorized to Open
BRAMPTON,Dab Cannabis ,227 VODDEN ST E UNIT 15,Authorized to Open
BRAMPTON,Dope Cannabis,13 KENVIEW BLVD UNIT 11,Public Notice Period: Ended 2022/02/19
BRAMPTON,GANJIKA HOUSE,186 MAIN ST S,Authorized to Open
BRAMPTON,Ganjika House Queen and Airport,2880 QUEEN ST E UNIT 8,Authorized to Open
BRAMPTON,Golden Tree Cannabis,10671 CHINGUACOUSY RD UNIT B7,Authorized to Open
BRAMPTON,Growcery Cannabis,178 QUEEN STREET WEST (MAIN FLOOR),Authorized to Open
BRAMPTON,HIBUZZ,40 RIVERMONT RD UNIT D2,Authorized to Open
BRAMPTON,Hibuzz,7955 FINANCIAL DR UNIT B,Authorized to Open
BRAMPTON,Hidden Leaf Cannabis Co.,1 WEXFORD RD UNIT 4,Authorized to Open
BRAMPTON,MC CANNABIS,1990 STEELES AVE W UNIT A,Authorized to Open
BRAMPTON,MC Cannabis ,10010 MCLAUGHLIN RD UNIT A,Authorized to Open
BRAMPTON,Oki Cannabis,34 AVONDALE BLVD SUITE 2,Authorized to Open
BRAMPTON,One Plant Brampton,160 GREAT LAKES DR UNIT 123A,Authorized to Open
BRAMPTON,Piffingtons Cannabis Co,345 QUEEN ST W UNIT 10,Authorized to Open
BRAMPTON,Pop's Cannabis Co.,10 BEAUMARIS DR UNIT 11,Authorized to Open
BRAMPTON,ROLL N ROCK CANNABIS CO.,14 LISA ST UNIT 114,Authorized to Open
BRAMPTON,SAGE CANNABIS,160 MAIN ST S UNIT 17,Authorized to Open
BRAMPTON,SAGE CANNABIS,160 MAIN ST S UNIT 17,In Progress
BRAMPTON,SHINYBUD CANNABIS CO. SEACHART,"23 SEACHART PL, UNIT #2",Authorized to Open
BRAMPTON,Spiritleaf - Brickyard,110 BRICKYARD WAY UNIT 12,Authorized to Open
BRAMPTON,Spiritleaf - Sandalwood,170 SANDALWOOD PKY E UNIT 12A,Authorized to Open
BRAMPTON,Spiritleaf Brampton (Imperial Centre),2456 QUEEN ST E SUITE 2,Authorized to Open
BRAMPTON,Sticky Nuggz Cottrelle Inc.,85 COTTRELLE BLVD UNIT 3,Public Notice Period: Ended 2023/03/04
BRAMPTON,THC Centre Cannabis Inc. ,144 KENNEDY RD S UNIT 4,Authorized to Open
BRAMPTON,The Cannabis Guys,8335 FINANCIAL DR UNIT 5-6,Authorized to Open
BRAMPTON,THE GREEN HEX,200 COUNTY COURT BLVD SUITE A2,Authorized to Open
BRAMPTON,The POTery,239 QUEEN ST E UNIT 4,Authorized to Open
BRAMPTON,THE WOODS CANNABIS,5 MONTPELIER ST UNIT A103,Authorized to Open
BRAMPTON,TOKA+,490 CHRYSLER DR SUITE 49,Authorized to Open
BRAMPTON,TOKYO SMOKE BRAMALEA ,25 PEEL CENTRE DR UNIT 360A,Authorized to Open
BRAMPTON,Tokyo Smoke Brampton Northeast,11795 BRAMALEA RD UNIT E5,Authorized to Open
BRAMPTON,Tokyo Smoke Shoppers World Brampton,499 MAIN ST S UNIT 70,Authorized to Open
BRAMPTON,TREES CANNABIS,131 KENNEDY RD N UNIT 1,Authorized to Open
BRAMPTON,Value Buds,10886 HURONTARIO ST SUITE A013,Authorized to Open
BRAMPTON,Value Buds,100 PEEL CENTRE DR UNIT 5,Authorized to Open
BRAMPTON,VALUE BUDS,90 RESOLUTION DR UNIT 103,Authorized to Open
BRAMPTON,Value Buds,17 WORTHINGTON AVE UNIT 7,Authorized to Open
BRAMPTON,Value Buds ,233 QUEEN ST E,Authorized to Open
BRAMPTON,WOW World of Weed,117 INSPIRE BLVD,In Progress
BRANTFORD,6420,64 ERIE AVE,Authorized to Open
BRANTFORD,BEST BUDZ,140 WEST ST,Authorized to Open
BRANTFORD,Brant Cannabis Co,168 CHARING CROSS ST,Authorized to Open
BRANTFORD,BUDSSMOKE,299 WAYNE GRETZKY PKY SUITE 5,Authorized to Open
BRANTFORD,Cannabis Central,235 MARKET ST UNIT B,Authorized to Open
BRANTFORD,Cannabis Cupboard,264 KING GEORGE RD UNIT D,Authorized to Open
BRANTFORD,CANNABIS SUPPLY CO.,108 COLBORNE ST W UNIT D,Authorized to Open
BRANTFORD,CLOUD NINE CANNABIS,26 BRANTWOOD PARK RD UNIT 4,Authorized to Open
BRANTFORD,COST CANNABIS,61 LYNDEN RD UNIT B4,Authorized to Open
BRANTFORD,GANJA GARDEN,18 MARKET ST UNIT A,Authorized to Open
BRANTFORD,Harvest Cannabis Co,59 DALHOUSIE ST,Authorized to Open
BRANTFORD,"High Supply Cannabis Co., Brantford",20 KING GEORGE RD UNIT 2 & 3,Authorized to Open
BRANTFORD,HIGHLIFE CANNABIS BRANTFORD,10 STANLEY ST,Authorized to Open
BRANTFORD,Hypnotic Cannabis ,116 DALHOUSIE ST,Authorized to Open
BRANTFORD,Lolly ,360 CONKLIN RD UNIT D4,Authorized to Open
BRANTFORD,Miss Jones,185 KING GEORGE RD SUITE B5,Authorized to Open
BRANTFORD,MULTIGREEN,11 BODINE DR,Public Notice Period: Ended 2021/07/08
BRANTFORD,Pink Alien,204 DALHOUSIE ST,Authorized to Open
BRANTFORD,Sessions Cannabis - Brantford,"175-181 LYNDEN RD, UNIT F2",Authorized to Open
BRANTFORD,SWEET RELEAFS INC,248 LYNDEN RD UNIT 3,Authorized to Open
BRANTFORD,The Grass Hut Inc,245-265 KING GEORGE RD. UNIT 101B ,Authorized to Open
BRANTFORD,TOKYO SMOKE BRANTFORD COMMONS,300 KING GEORGE RD UNIT K5,Authorized to Open
BRANTFORD,TONIK CANNABIS,560 WEST ST SUITE B,Authorized to Open
BRANTFORD,True North Cannabis Co,153 WEST ST,Authorized to Open
BRIDGENORTH,FLOWERTOWN CANNABIS,874 WARD ST UNIT 4,Authorized to Open
BRIGHT'S GROVE,Pop's Cannabis Brights Grove,2600 LAKESHORE RD UNIT 9,Authorized to Open
BRIGHTON,BONNEFIRE,23 MAIN ST,Authorized to Open
BRIGHTON,True North Cannabis Co.,43 MAIN STREET,Authorized to Open
BROCKVILLE,One Plant Brockville,1958 PARKEDALE AVE UNIT D,Authorized to Open
BROCKVILLE,PARADISE CANNABIS,68 WILLIAM ST UNIT 101,Authorized to Open
BROCKVILLE,Sessions Cannabis Brockville,2441 PARKEDALE AVE UNIT C,Authorized to Open
BROCKVILLE,SHINYBUD CANNABIS CO. 182 KING ST WEST,182 KING ST W,Authorized to Open
BROCKVILLE,SHINYBUD CANNABIS CO. 2211 PARKEDALE AVE,2211 PARKEDALE AVE SUITE 8A,Authorized to Open
BROCKVILLE,True North Cannabis Co.,2107 PARKEDALE AVE,Authorized to Open
BRUSSELS,FOREST PLANT ,450 TURNBERRY ST,Authorized to Open
BURKS FALLS,GREEN APPLE CANNABIS,51 COMMERCIAL DR,Authorized to Open
BURLINGTON,Buds House,5291 LAKESHORE RD UNIT 3,Authorized to Open
BURLINGTON,BUDSSMOKE,2017 LAKESHORE RD,Authorized to Open
BURLINGTON,BURLINGTON CANNABIS CO.,2025 UPPER MIDDLE RD UNIT 24,Authorized to Open
BURLINGTON,Canada Buds,1860 APPLEBY LINE UNIT 11B,Authorized to Open
BURLINGTON,CANNA CABANA,3505 UPPER MIDDLE RD UNIT D003,Authorized to Open
BURLINGTON,Canna Cabana  Burlington ,2400 GUELPH LINE UNIT 2,Authorized to Open
BURLINGTON,Hidden Leaf Cannabis,181 PLAINS RD W UNIT 2,Public Notice Period: Ended 2022/05/29
BURLINGTON,mihi,3500 DUNDAS ST UNIT A1B,Authorized to Open
BURLINGTON,Mont Kailash Cannabis,1220 BRANT ST UNIT 3B,Authorized to Open
BURLINGTON,One Plant Burlington,2025 GUELPH LINE UNIT 133,Authorized to Open
BURLINGTON,PEPE,892 BRANT ST UNIT 3,Public Notice Period: Ended 2022/06/27
BURLINGTON,PLEASANTREES,372 BRANT ST,Authorized to Open
BURLINGTON,RELM Cannabis Co.,4031 FAIRVIEW ST SUITE 103,Authorized to Open
BURLINGTON,Sparkle Cannabis Company,730 GUELPH LINE UNIT 1,Authorized to Open
BURLINGTON,Spiritleaf,"3295 FAIRVIEW ST, UNIT 004A",Authorized to Open
BURLINGTON,Sweet Releafs Inc,728 BURLOAK DRIVE UNIT C4,Authorized to Open
BURLINGTON,THE FARMHOUSE CANNABIS CO.,666 APPLEBY LINE SUITE C101,Authorized to Open
BURLINGTON,The Hunny Pot Cannabis Co,2000 APPLEBY LINE UNIT F3,Authorized to Open
BURLINGTON,The Hunny Pot Cannabis Co. Burlington,1505 GUELPH LINE UNIT 3-4,Authorized to Open
BURLINGTON,The Spot Cannabis,3247 APPLEBY LINE UNIT 3/4,Authorized to Open
BURLINGTON,Tokyo Smoke ,4517 DUNDAS ST SUITE B5,Authorized to Open
BURLINGTON,TREES CANNABIS,3007 NEW ST,Authorized to Open
BURLINGTON,TreeTop,796 BRANT ST,Authorized to Open
BURLINGTON,Tweed,2971 WALKER'S LINE UNIT A,Public Notice Period: Ended 2022/02/04
BURLINGTON,Uncle Louie's Cannabis Shop,574 PLAINS RD E UNIT B,Authorized to Open
BURLINGTON,Value Buds,1235 FAIRVIEW ST UNIT A,Authorized to Open
BURLINGTON,Value Buds ,2485 APPLEBY LINE UNIT G1,Authorized to Open
BURLINGTON,Welcome Cannabis ,1401 PLAINS RD E UNIT 5,Authorized to Open
BURLINGTON ,Friendly Stranger,1025 & 1059 PLAINS RD E UNIT 3 ,Authorized to Open
CALABOGIE ,Big River Cannabis,4983 CALABOGIE RD. UNIT 1,Authorized to Open
CALEDONIA,HARVEST CANNABIS CO,172 ARGYLE ST N UNIT 1,Authorized to Open
CALEDONIA,Lolly,14 CAITHNESS ST E,Authorized to Open
CALLANDER,BUDSSMOKE,6 MAIN ST S UNIT 4,Authorized to Open
CALLANDER,Cannabis Jacks,30 BAY ST UNIT C,Authorized to Open
CAMBRIDGE,Canna Havana ,827 KING ST E UNIT A,Authorized to Open
CAMBRIDGE,CANNABIS CUPBOARD,215 BEVERLY STREET UNIT 1,Authorized to Open
CAMBRIDGE,Caribbean Oxygen,124 MAIN ST,Authorized to Open
CAMBRIDGE,FRIENDLY STRANGER ,200 FRANKLIN BLVD UNIT F39,Authorized to Open
CAMBRIDGE,HESPELER VILLAGE CANNABIS ,209 PINEBUSH RD SUITE 6,Authorized to Open
CAMBRIDGE,Miss Jones,480 HESPELER RD UNIT 9/10A,Authorized to Open
CAMBRIDGE,Modern Day Cannabis,1515 KING ST E UNIT 112,Authorized to Open
CAMBRIDGE,One Plant,350 HESPELER RD BLDG B UNIT 8,Authorized to Open
CAMBRIDGE,Ronin Cannabis,900 JAMIESON PKY UNIT J,Authorized to Open
CAMBRIDGE,Sativa Bliss Cannabis Boutique,611 HESPELER RD UNIT 2,Authorized to Open
CAMBRIDGE,Sessions Cannabis Cambridge,101 HOLIDAY INN DR UNIT B1,Authorized to Open
CAMBRIDGE,Social Cannabliss Inc,507 MAIN ST,Authorized to Open
CAMBRIDGE,Speak Easy Cannabis,561 HESPELER RD UNIT 14,Authorized to Open
CAMBRIDGE,The Hunny Pot Cannabis Co.,100 JAMIESON PKY SUITE 7,Authorized to Open
CAMBRIDGE,Tokyo Smoke,420 MAIN ST UNIT 105,In Progress
CAMBRIDGE,TOKYO SMOKE 75 PINEBUSH,75 PINEBUSH RD UNIT D0005,Authorized to Open
CAMBRIDGE,True North Cannabis Co.,51 MAIN ST,Authorized to Open
CAMBRIDGE,True North Cannabis Company,960 KING ST E SUITE 3,Authorized to Open
CAMBRIDGE,Value Buds,150 HOLIDAY INN DR UNIT 111,Authorized to Open
CAMBRIDGE,VIP Cannabis Company,336 EAGLE ST N SUITE 102,Authorized to Open
CAMBRIDGE,VIP Cannabis Company,304 ST ANDREWS ST SUITE 10,Authorized to Open
CAMBRIDGE ,CAMBRIDGE CANNABIS,26 QUEEN ST W UNIT 6,Authorized to Open
CAMPBELLFORD,Spiritleaf,15 BRIDGE STREET WEST,Authorized to Open
CAMPBELLFORD,True North Cannabis Co.,52 BRIDGE ST E,Authorized to Open
CAMPBELLVILLE,Village Buds,30 CRAWFORD CRESCENT UNIT 1C,Authorized to Open
CANNINGTON,Bud Runners Cannabis,17 CAMERON ST W.,Authorized to Open
CARDINAL,Shinybud Cannabis Co. Cardinal,623 COUNTY ROAD 2 UNIT F,Authorized to Open
CARLETON PLACE,Olympia Cannabis,101 BRIDGE ST,Authorized to Open
CARLETON PLACE,TBD,208 BRIDGE ST,In Progress
CARLETON PLACE,The Cannabis Shop,545 MCNEELY AVE UNIT 2B,Authorized to Open
CARLETON PLACE,TWEED,450 MCNEELY AVE,Authorized to Open
CARLETON PLACE,Twisted Terps Cannabis,10488 HIGHWAY 7,Public Notice Period: Ended 2023/10/12
CARLISLE,SESSIONS CANNABIS - CARLISLE,278 CARLISLE RD,Authorized to Open
CARP,VALLEY BUD,433 DONALD B MUNRO DR UNIT B,Authorized to Open
CAVAN,Lush Cannabis Company,1521 COUNTY RD 10,Authorized to Open
